Employee_ID,Department,Gender,Age,Job_Title,Hire_Date,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Team_Size,Training_Hours,Promotions,Employee_Satisfaction_Score,Resigned
6712310364867,IT,Female,30,Specialist,05/05/2014 10:18:35.000000000,5,Master,5,4260.55,37,49,17,21,16,12,51,1,1.36,true
9736066162761,Marketing,Female,47,Consultant,12/30/2005 01:29:46.000000000,10,Master,1,5936.29,64,27,8,25,33,16,30,1,3.41,true
4211250864728,HR,Male,52,Engineer,09/29/2018 02:26:10.000000000,4,High School,2,726.57,29,37,2,5,88,12,16,0,3.4,false
9543500644513,HR,Male,18,Analyst,06/29/2006 04:40:03.000000000,5,Master,2,1930.27,20,47,3,0,70,7,18,0,3.71,true
6620798913974,HR,Male,50,Technician,04/21/2009 20:25:17.000000000,2,PhD,4,512.26,53,9,7,30,43,13,28,2,1.37,false
780339812611,Engineering,Female,29,Analyst,03/20/2012 03:43:01.000000000,7,Bachelor,3,284.76,51,25,0,0,25,12,53,1,2.06,true
4468957768454,Engineering,Female,52,Specialist,01/15/2010 08:13:39.000000000,8,Master,3,5511.43,52,31,13,31,57,3,31,1,4.87,true
1385256258482,Sales,Male,44,Specialist,12/11/2022 03:39:44.000000000,5,Bachelor,1,6949.91,57,41,17,18,81,9,86,2,4.14,false
8389075072447,Engineering,Non-binary,38,Developer,10/21/2016 11:50:58.000000000,2,Master,2,7256.3,25,7,20,16,83,7,0,1,4.28,true
436445447379,Marketing,Male,60,Engineer,08/15/2016 04:23:07.000000000,2,Bachelor,4,8637.1,24,15,11,10,63,4,69,2,1.01,false
1143766678865,IT,Male,30,Developer,04/08/2015 00:20:19.000000000,4,High School,3,857.42,36,5,7,12,32,17,87,2,0.47,true
6866099191829,Engineering,Male,58,Engineer,09/26/2012 14:29:03.000000000,8,Bachelor,2,6048.74,33,34,13,27,59,12,29,2,4.26,false
5723443305218,Operations,Female,40,Consultant,10/14/2016 17:10:24.000000000,5,High School,4,3780.9,30,32,4,4,69,20,92,2,2.36,true
1337309376037,HR,Male,31,Specialist,07/05/2000 17:22:22.000000000,2,Bachelor,5,63.54,55,13,5,1,60,2,31,0,4.35,true
6596151720831,Legal,Male,40,Engineer,10/21/2003 03:38:26.000000000,8,Master,2,8889.52,57,16,11,1,55,18,2,2,4.9,false
9429430574001,Marketing,Male,31,Developer,08/25/2021 23:39:12.000000000,4,Bachelor,3,6526.72,49,6,12,29,84,11,16,0,3.84,true
2622203543375,Finance,Male,53,Analyst,08/09/2000 07:19:10.000000000,3,PhD,4,6935.99,31,26,20,18,99,7,54,1,2.03,true
7779243192420,Finance,Female,53,Technician,11/21/2013 01:09:08.000000000,9,Master,2,8860.1,57,35,0,21,77,7,82,2,4.51,false
5379963616638,IT,Male,25,Engineer,05/12/2006 20:03:24.000000000,3,Bachelor,2,4264.32,34,19,8,19,75,9,55,1,2.83,true
2214093718251,Operations,Male,57,Consultant,07/23/2013 13:03:53.000000000,3,Master,3,2112.93,62,40,15,1,94,5,85,0,0.47,true
8182451086924,HR,Female,38,Consultant,05/12/2002 23:05:41.000000000,9,Bachelor,1,1469.22,48,46,2,20,68,20,71,0,3.49,false
3934949825848,Finance,Female,53,Consultant,05/11/2015 03:22:00.000000000,5,High School,3,1377.34,43,32,17,16,7,11,52,0,3.78,true
7031252001659,Legal,Agender,32,Developer,03/20/2001 22:46:52.000000000,3,PhD,5,8234.53,21,25,7,19,49,4,35,1,0.73,false
6059388453858,IT,Male,59,Specialist,10/06/2018 10:04:32.000000000,10,Bachelor,2,3020.17,45,44,7,3,4,19,95,0,4.72,false
1422305459981,Legal,Female,29,Specialist,09/23/2021 02:12:37.000000000,9,Bachelor,5,8025.47,24,17,20,23,66,10,13,2,4.91,true
6352573362702,Legal,Male,33,Analyst,01/27/2009 20:12:53.000000000,9,PhD,1,7107.09,60,50,9,30,50,18,80,2,2.84,true
5431196268732,Finance,Male,52,Manager,03/06/2002 23:29:40.000000000,4,High School,2,3945.46,34,18,5,30,79,10,48,0,0.88,true
6888357212762,Sales,Male,51,Manager,08/14/2018 02:19:01.000000000,4,High School,2,3267.92,54,25,20,0,31,8,97,2,2.38,false
